position	x	n	folded
16	40	40	0
30	40	40	0
119	3	40	0
123	40	40	0
171	40	40	0
177	5	40	0
207	2	40	0
219	35	40	0
279	40	40	0
380	40	40	0
397	40	40	0
404	40	40	0
509	40	40	0
531	40	40	0
643	40	40	0
649	40	40	0
673	5	40	0
717	40	40	0
749	40	40	0
785	8	40	0
790	40	40	0
894	40	40	0
896	10	40	0
1000	40	40	0
1002	40	40	0
1070	40	40	0
1072	40	40	0
1077	40	40	0
1085	2	40	0
1108	2	40	0
1127	40	40	0
1141	40	40	0
1327	40	40	0
1367	40	40	0
1396	40	40	0
1442	40	40	0
1474	5	40	0
1476	40	40	0
1497	40	40	0
1542	40	40	0
1568	3	40	0
1669	18	40	0
1698	40	40	0
1709	40	40	0
1722	1	40	0
1736	40	40	0
1783	40	40	0
1794	40	40	0
1814	40	40	0
1890	40	40	0
1904	40	40	0
1917	40	40	0
1930	40	40	0
2057	40	40	0
2067	40	40	0
2230	31	40	0
2248	40	40	0
2254	40	40	0
2429	1	40	0
2437	40	40	0
2475	4	40	0
2554	40	40	0
2583	5	40	0
2601	40	40	0
2616	1	40	0
2626	40	40	0
2742	9	40	0
2836	7	40	0
2888	21	40	0
2981	40	40	0
3019	40	40	0
3126	40	40	0
3137	40	40	0
3271	40	40	0
3308	3	40	0
3313	40	40	0
3338	40	40	0
3382	40	40	0
3411	40	40	0
3434	40	40	0
3453	40	40	0
3491	40	40	0
3496	40	40	0
3506	40	40	0
3569	40	40	0
3598	20	40	0
3641	40	40	0
3686	40	40	0
3808	40	40	0
3817	40	40	0
3895	40	40	0
3918	4	40	0
4069	7	40	0
4088	40	40	0
4099	5	40	0
4160	33	40	0
4184	1	40	0
4220	40	40	0
4223	40	40	0
4236	19	40	0
4262	40	40	0
4365	40	40	0
4369	40	40	0
4383	40	40	0
4432	40	40	0
4517	3	40	0
4526	40	40	0
4549	40	40	0
4592	40	40	0
4610	40	40	0
4647	40	40	0
4721	40	40	0
4818	40	40	0
4837	40	40	0
4847	40	40	0
4848	40	40	0
4849	40	40	0
5017	40	40	0
5023	40	40	0
5094	40	40	0
5104	40	40	0
5122	14	40	0
5143	40	40	0
5191	40	40	0
5299	40	40	0
5316	40	40	0
5332	40	40	0
5347	9	40	0
5348	40	40	0
5376	21	40	0
5395	40	40	0
5401	40	40	0
5408	33	40	0
5474	22	40	0
5543	40	40	0
5545	40	40	0
5668	40	40	0
5689	40	40	0
5716	40	40	0
5754	40	40	0
5784	40	40	0
5845	10	40	0
5914	40	40	0
6040	40	40	0
6104	1	40	0
6269	40	40	0
6282	40	40	0
6315	19	40	0
6388	21	40	0
6416	40	40	0
6461	40	40	0
6473	40	40	0
6512	40	40	0
6522	6	40	0
6530	40	40	0
6555	40	40	0
6556	40	40	0
6621	40	40	0
6632	40	40	0
6648	36	40	0
6652	40	40	0
6656	40	40	0
6662	40	40	0
6751	8	40	0
6783	40	40	0
6787	40	40	0
6961	40	40	0
6977	40	40	0
7074	40	40	0
7146	3	40	0
7203	5	40	0
7231	6	40	0
7280	1	40	0
7325	40	40	0
7353	2	40	0
7356	40	40	0
7405	40	40	0
7472	10	40	0
7525	40	40	0
7563	19	40	0
7625	40	40	0
7664	1	40	0
7783	40	40	0
7816	40	40	0
7859	40	40	0
7936	40	40	0
7958	30	40	0
7975	40	40	0
8029	40	40	0
8071	40	40	0
8095	40	40	0
8153	40	40	0
8170	40	40	0
8191	40	40	0
8295	5	40	0
8316	1	40	0
8376	5	40	0
8390	5	40	0
8430	40	40	0
8460	40	40	0
8468	40	40	0
8562	40	40	0
8574	40	40	0
8587	40	40	0
8612	40	40	0
8683	4	40	0
8723	40	40	0
8789	40	40	0
8803	40	40	0
8827	40	40	0
8903	40	40	0
8919	40	40	0
8929	40	40	0
8957	40	40	0
8974	2	40	0
8998	40	40	0
9030	40	40	0
9086	40	40	0
9111	40	40	0
9177	40	40	0
9253	15	40	0
9274	40	40	0
9326	40	40	0
9396	40	40	0
9434	40	40	0
9442	4	40	0
9476	1	40	0
9478	40	40	0
9564	40	40	0
9674	40	40	0
9712	40	40	0
9726	40	40	0
9728	40	40	0
9755	40	40	0
9786	40	40	0
9934	40	40	0
9938	40	40	0
10067	40	40	0
10100	40	40	0
10173	40	40	0
10423	1	40	0
10589	4	40	0
10639	40	40	0
10660	40	40	0
10688	40	40	0
10691	40	40	0
10704	40	40	0
10715	7	40	0
10722	40	40	0
10758	7	40	0
10818	40	40	0
10829	40	40	0
10961	1	40	0
11051	40	40	0
11071	40	40	0
11125	40	40	0
11147	40	40	0
11238	6	40	0
11262	40	40	0
11288	3	40	0
11298	40	40	0
11491	40	40	0
11519	3	40	0
11573	40	40	0
11607	4	40	0
11689	40	40	0
11696	1	40	0
11709	40	40	0
11719	40	40	0
11753	40	40	0
11758	40	40	0
11846	18	40	0
12042	40	40	0
12051	40	40	0
12139	40	40	0
12297	40	40	0
12299	40	40	0
12361	3	40	0
12405	40	40	0
12442	40	40	0
12444	40	40	0
12492	40	40	0
12497	3	40	0
12529	40	40	0
12632	40	40	0
12652	39	40	0
12653	2	40	0
12774	4	40	0
12782	39	40	0
12848	39	40	0
12859	1	40	0
12917	40	40	0
12945	40	40	0
12948	39	40	0
12990	4	40	0
13016	26	40	0
13022	39	40	0
13055	1	40	0
13081	1	40	0
13138	1	40	0
13139	14	40	0
13186	3	40	0
13197	40	40	0
13233	39	40	0
13246	1	40	0
13246	1	40	0
13259	6	40	0
13260	2	40	0
13272	2	40	0
13294	40	40	0
13305	2	40	0
13372	40	40	0
13398	38	40	0
13419	38	40	0
13449	7	40	0
13494	40	40	0
13506	2	40	0
13520	38	40	0
13543	4	40	0
13558	2	40	0
13596	5	40	0
13650	2	40	0
13651	2	40	0
13680	2	40	0
13682	40	40	0
13683	40	40	0
13714	40	40	0
13745	1	40	0
13770	38	40	0
13835	2	40	0
13857	40	40	0
13866	2	40	0
13887	2	40	0
13927	38	40	0
13966	3	40	0
13978	38	40	0
13988	38	40	0
13993	23	40	0
14047	2	40	0
14050	38	40	0
14054	2	40	0
14075	40	40	0
14092	2	40	0
14095	18	40	0
14140	38	40	0
14154	2	40	0
14199	40	40	0
14204	5	40	0
14215	40	40	0
14247	3	40	0
14255	37	40	0
14333	37	40	0
14354	3	40	0
14359	37	40	0
14359	40	40	0
14408	37	40	0
14417	40	40	0
14420	40	40	0
14434	4	40	0
14521	3	40	0
14556	37	40	0
14575	3	40	0
14596	37	40	0
14616	37	40	0
14623	40	40	0
14689	3	40	0
14770	37	40	0
14789	40	40	0
14828	40	40	0
14842	3	40	0
14862	3	40	0
