position	x	n	folded
121	5	40	0
123	40	40	0
158	35	40	0
173	35	40	0
201	40	40	0
280	4	40	0
294	8	40	0
295	40	40	0
331	4	40	0
340	4	40	0
349	36	40	0
349	4	40	0
373	2	40	0
404	7	40	0
419	4	40	0
461	40	40	0
463	4	40	0
477	5	40	0
506	35	40	0
600	36	40	0
658	4	40	0
694	4	40	0
703	40	40	0
721	40	40	0
729	36	40	0
752	40	40	0
755	10	40	0
772	4	40	0
848	4	40	0
856	40	40	0
909	4	40	0
910	40	40	0
942	4	40	0
946	36	40	0
973	40	40	0
1015	36	40	0
1017	40	40	0
1021	4	40	0
1055	4	40	0
1149	23	40	0
1206	4	40	0
1285	3	40	0
1380	3	40	0
1385	40	40	0
1404	40	40	0
1438	40	40	0
1448	40	40	0
1509	3	40	0
1511	3	40	0
1547	3	40	0
1607	3	40	0
1632	40	40	0
1671	40	40	0
1696	3	40	0
1698	3	40	0
1703	5	40	0
1742	35	40	0
1756	40	40	0
1759	5	40	0
1840	40	40	0
1845	2	40	0
1849	5	40	0
1878	35	40	0
1904	27	40	0
1981	15	40	0
2019	35	40	0
2026	35	40	0
2124	40	40	0
2171	12	40	0
2217	5	40	0
2246	2	40	0
2332	35	40	0
2335	5	40	0
2388	3	40	0
2491	18	40	0
2499	5	40	0
2502	5	40	0
2512	5	40	0
2517	40	40	0
2518	1	40	0
2642	3	40	0
2653	1	40	0
2757	35	40	0
2758	5	40	0
2759	40	40	0
2779	35	40	0
2804	5	40	0
2820	5	40	0
2824	35	40	0
2839	31	40	0
2850	40	40	0
2889	5	40	0
2896	35	40	0
2975	4	40	0
2981	5	40	0
2995	35	40	0
3002	5	40	0
3024	40	40	0
3109	5	40	0
3157	16	40	0
3164	5	40	0
3171	35	40	0
3193	35	40	0
3204	36	40	0
3238	36	40	0
3242	40	40	0
3250	40	40	0
3266	3	40	0
3297	40	40	0
3305	4	40	0
3312	40	40	0
3316	4	40	0
3325	40	40	0
3333	40	40	0
3362	20	40	0
3370	40	40	0
3389	4	40	0
3415	13	40	0
3560	40	40	0
3575	4	40	0
3593	2	40	0
3610	4	40	0
3650	36	40	0
3673	40	40	0
3685	4	40	0
3710	4	40	0
3736	40	40	0
3741	4	40	0
3755	36	40	0
3864	36	40	0
3888	4	40	0
3896	36	40	0
3899	7	40	0
3908	4	40	0
3911	36	40	0
3913	36	40	0
4001	4	40	0
4008	36	40	0
4067	36	40	0
4129	4	40	0
4204	4	40	0
4320	22	40	0
4370	4	40	0
4375	36	40	0
4377	36	40	0
4414	36	40	0
4423	40	40	0
4423	4	40	0
4425	36	40	0
4510	40	40	0
4518	40	40	0
4579	4	40	0
4614	4	40	0
4620	4	40	0
4639	1	40	0
4693	40	40	0
4708	5	40	0
4711	40	40	0
4747	40	40	0
4749	5	40	0
4773	40	40	0
4834	7	40	0
4926	35	40	0
4953	5	40	0
4956	35	40	0
5039	1	40	0
5064	40	40	0
5133	40	40	0
5134	3	40	0
5136	5	40	0
5147	35	40	0
5188	5	40	0
5222	40	40	0
5252	40	40	0
5277	5	40	0
5290	40	40	0
5338	4	40	0
5425	36	40	0
5427	40	40	0
5437	4	40	0
5444	40	40	0
5456	40	40	0
5485	40	40	0
5501	36	40	0
5535	4	40	0
5578	36	40	0
5592	4	40	0
5676	4	40	0
5692	4	40	0
5694	30	40	0
5710	40	40	0
5780	4	40	0
5880	40	40	0
5912	36	40	0
5943	40	40	0
5980	3	40	0
5996	36	40	0
6011	1	40	0
6026	4	40	0
6049	20	40	0
6063	36	40	0
6110	4	40	0
6175	1	40	0
6264	36	40	0
6276	40	40	0
6300	4	40	0
6372	4	40	0
6461	35	40	0
6522	1	40	0
6525	1	40	0
6535	13	40	0
6535	40	40	0
6555	40	40	0
6566	35	40	0
6583	35	40	0
6649	5	40	0
6675	35	40	0
6681	5	40	0
6735	40	40	0
6845	40	40	0
6847	40	40	0
6848	35	40	0
6855	5	40	0
6870	18	40	0
6929	5	40	0
6961	35	40	0
7001	40	40	0
7027	40	40	0
7059	35	40	0
7087	35	40	0
7155	36	40	0
7220	36	40	0
7224	1	40	0
7236	4	40	0
7247	4	40	0
7264	2	40	0
7279	4	40	0
7282	1	40	0
7367	40	40	0
7419	4	40	0
7506	4	40	0
7508	4	40	0
7531	36	40	0
7611	2	40	0
7665	4	40	0
7665	40	40	0
7682	36	40	0
7685	36	40	0
7687	4	40	0
7714	36	40	0
7752	36	40	0
7756	2	40	0
7798	4	40	0
7842	8	40	0
7851	1	40	0
7946	36	40	0
7988	4	40	0
8105	1	40	0
8110	2	40	0
8117	36	40	0
8122	4	40	0
8144	4	40	0
8211	9	40	0
8235	13	40	0
8288	40	40	0
8349	40	40	0
8371	4	40	0
8373	40	40	0
8430	36	40	0
8447	3	40	0
8449	40	40	0
8456	36	40	0
8546	36	40	0
8552	1	40	0
8584	6	40	0
8626	34	40	0
8709	34	40	0
8811	3	40	0
8824	40	40	0
8852	31	40	0
8868	31	40	0
8910	3	40	0
8929	40	40	0
9004	1	40	0
9048	40	40	0
9118	36	40	0
9166	36	40	0
9226	4	40	0
9268	40	40	0
9303	21	40	0
9307	4	40	0
9345	36	40	0
9350	19	40	0
9408	36	40	0
9419	40	40	0
9434	4	40	0
9482	36	40	0
9508	4	40	0
9542	4	40	0
9561	36	40	0
9565	4	40	0
9565	5	40	0
9615	4	40	0
9622	9	40	0
9624	4	40	0
9653	4	40	0
9724	36	40	0
9757	40	40	0
9793	40	40	0
9807	4	40	0
9834	40	40	0
9849	16	40	0
9850	2	40	0
9884	38	40	0
9897	40	40	0
9915	2	40	0
9916	2	40	0
9924	6	40	0
9938	40	40	0
9966	38	40	0
9980	2	40	0
10011	2	40	0
10048	38	40	0
10059	2	40	0
10064	2	40	0
10082	2	40	0
10091	38	40	0
10103	38	40	0
10135	2	40	0
10136	40	40	0
10138	1	40	0
10144	2	40	0
10165	31	40	0
10267	38	40	0
10270	10	40	0
10288	38	40	0
10317	9	40	0
10345	38	40	0
10469	40	40	0
10490	38	40	0
10543	2	40	0
10576	38	40	0
10655	3	40	0
10685	3	40	0
10719	3	40	0
10759	37	40	0
10841	3	40	0
10918	8	40	0
11061	40	40	0
11078	40	40	0
11099	40	40	0
11124	36	40	0
11125	36	40	0
11169	36	40	0
11215	4	40	0
11223	36	40	0
11292	36	40	0
11306	7	40	0
11311	3	40	0
11319	1	40	0
11379	40	40	0
11431	37	40	0
