position	x	n	folded
51	2	40	0
66	40	40	0
142	40	40	0
143	40	40	0
148	40	40	0
193	13	40	0
194	40	40	0
242	40	40	0
397	40	40	0
420	40	40	0
468	40	40	0
472	15	40	0
478	21	40	0
579	1	40	0
605	1	40	0
641	6	40	0
665	40	40	0
688	40	40	0
809	4	40	0
907	2	40	0
1005	9	40	0
1018	16	40	0
1045	40	40	0
1055	16	40	0
1135	1	40	0
1184	2	40	0
1211	40	40	0
1278	40	40	0
1340	40	40	0
1357	6	40	0
1614	1	40	0
1647	40	40	0
1656	40	40	0
1666	40	40	0
1689	40	40	0
1699	40	40	0
1718	40	40	0
1776	12	40	0
1829	40	40	0
1839	40	40	0
1871	40	40	0
1932	40	40	0
1969	40	40	0
1972	40	40	0
2026	1	40	0
2078	40	40	0
2094	40	40	0
2097	40	40	0
2125	40	40	0
2270	40	40	0
2314	40	40	0
2326	40	40	0
2356	19	40	0
2393	40	40	0
2406	2	40	0
2463	3	40	0
2478	40	40	0
2514	16	40	0
2609	38	40	0
2661	40	40	0
2767	40	40	0
2779	40	40	0
2828	40	40	0
2953	40	40	0
2965	40	40	0
2975	16	40	0
3057	40	40	0
3066	40	40	0
3109	40	40	0
3159	40	40	0
3175	1	40	0
3348	40	40	0
3418	40	40	0
3478	40	40	0
3486	1	40	0
3493	2	40	0
3545	22	40	0
3728	3	40	0
3732	40	40	0
3789	40	40	0
3870	40	40	0
3909	40	40	0
4055	4	40	0
4096	40	40	0
4122	40	40	0
4211	40	40	0
4244	40	40	0
4278	40	40	0
4305	40	40	0
4355	40	40	0
4371	40	40	0
4410	8	40	0
4484	40	40	0
4485	40	40	0
4563	40	40	0
4571	12	40	0
4612	40	40	0
4619	3	40	0
4621	40	40	0
4629	40	40	0
4668	1	40	0
4733	37	40	0
4802	40	40	0
4878	18	40	0
4881	1	40	0
4884	6	40	0
4885	18	40	0
4974	22	40	0
4998	4	40	0
5038	40	40	0
5153	40	40	0
5195	1	40	0
5213	40	40	0
5271	22	40	0
5274	4	40	0
5307	18	40	0
5327	40	40	0
5450	40	40	0
5468	40	40	0
5481	40	40	0
5499	40	40	0
5546	6	40	0
5589	29	40	0
5609	32	40	0
5633	40	40	0
5637	32	40	0
5648	40	40	0
5676	40	40	0
5777	40	40	0
5832	40	40	0
5991	40	40	0
6044	30	40	0
6059	3	40	0
6088	40	40	0
6128	40	40	0
6139	40	40	0
6142	40	40	0
6232	36	40	0
6265	40	40	0
6297	3	40	0
6326	40	40	0
6341	40	40	0
6349	23	40	0
6354	17	40	0
6416	40	40	0
6586	2	40	0
6586	40	40	0
6639	40	40	0
6758	40	40	0
6866	3	40	0
6904	1	40	0
6925	39	40	0
6961	39	40	0
7057	1	40	0
7072	16	40	0
7100	1	40	0
7121	40	40	0
7127	39	40	0
7181	1	40	0
7187	40	40	0
7293	39	40	0
7308	39	40	0
7315	40	40	0
7322	39	40	0
7358	39	40	0
7389	40	40	0
7451	39	40	0
7463	39	40	0
7463	1	40	0
7527	1	40	0
7527	1	40	0
7547	40	40	0
7610	1	40	0
7613	3	40	0
7736	1	40	0
7744	39	40	0
7745	1	40	0
7795	40	40	0
7845	40	40	0
7897	1	40	0
7928	36	40	0
8007	40	40	0
8015	1	40	0
8015	40	40	0
8018	25	40	0
8067	39	40	0
8075	39	40	0
8080	1	40	0
8118	39	40	0
8198	40	40	0
8222	39	40	0
8259	1	40	0
8316	39	40	0
8327	1	40	0
8373	40	40	0
8410	37	40	0
8432	40	40	0
8441	1	40	0
8486	1	40	0
8518	40	40	0
8549	40	40	0
8567	1	40	0
8604	1	40	0
8646	1	40	0
8702	36	40	0
8720	39	40	0
8771	1	40	0
8840	2	40	0
8841	1	40	0
8844	1	40	0
8855	1	40	0
8855	1	40	0
8862	39	40	0
8942	1	40	0
8985	40	40	0
9018	39	40	0
9049	1	40	0
9061	1	40	0
9062	39	40	0
9121	1	40	0
9125	39	40	0
9147	40	40	0
9222	40	40	0
9249	1	40	0
9302	1	40	0
9315	1	40	0
9367	1	40	0
9419	1	40	0
9467	39	40	0
9480	1	40	0
9490	1	40	0
9503	40	40	0
9515	1	40	0
9565	1	40	0
9794	1	40	0
9803	1	40	0
9821	40	40	0
9862	39	40	0
9863	4	40	0
9870	1	40	0
9875	1	40	0
9978	39	40	0
10010	1	40	0
10027	40	40	0
10031	40	40	0
10099	1	40	0
10153	1	40	0
10173	1	40	0
10244	39	40	0
10324	40	40	0
10335	39	40	0
10354	40	40	0
10368	1	40	0
10373	37	40	0
10378	40	40	0
10383	2	40	0
10460	4	40	0
10519	3	40	0
10579	2	40	0
10581	38	40	0
10628	40	40	0
10658	2	40	0
10669	40	40	0
10674	2	40	0
10704	2	40	0
10746	3	40	0
10776	2	40	0
10791	2	40	0
10798	2	40	0
10799	2	40	0
10815	40	40	0
10854	38	40	0
10919	40	40	0
10985	37	40	0
10990	3	40	0
11052	3	40	0
11058	1	40	0
11059	3	40	0
11136	12	40	0
11158	2	40	0
11198	40	40	0
11208	38	40	0
11308	40	40	0
11330	40	40	0
11334	2	40	0
11338	2	40	0
11354	38	40	0
11435	38	40	0
11440	7	40	0
11491	38	40	0
11518	6	40	0
11535	2	40	0
11580	2	40	0
11616	40	40	0
11636	16	40	0
11723	8	40	0
11741	38	40	0
11765	12	40	0
11814	40	40	0
11838	38	40	0
11861	2	40	0
11862	2	40	0
11864	2	40	0
11895	2	40	0
11990	38	40	0
12001	7	40	0
12066	38	40	0
12073	2	40	0
12075	38	40	0
12171	40	40	0
12193	2	40	0
12228	40	40	0
12257	2	40	0
12289	40	40	0
12294	2	40	0
12336	40	40	0
12350	2	40	0
12373	2	40	0
12429	40	40	0
12454	38	40	0
12464	2	40	0
12486	17	40	0
12501	38	40	0
12535	17	40	0
12537	3	40	0
12557	5	40	0
12565	2	40	0
12592	13	40	0
12606	38	40	0
12611	38	40	0
12611	8	40	0
12652	5	40	0
12663	40	40	0
12669	38	40	0
12672	38	40	0
12677	17	40	0
12699	2	40	0
12714	40	40	0
12750	18	40	0
12753	5	40	0
12754	40	40	0
12758	5	40	0
12761	38	40	0
12796	38	40	0
12797	2	40	0
12798	38	40	0
12826	2	40	0
12904	38	40	0
12918	40	40	0
12955	2	40	0
13036	11	40	0
13043	38	40	0
13070	38	40	0
13120	38	40	0
13160	39	40	0
13210	8	40	0
13223	40	40	0
13274	40	40	0
13285	2	40	0
13324	40	40	0
13330	21	40	0
13339	1	40	0
13341	39	40	0
13363	39	40	0
13416	39	40	0
13478	3	40	0
13503	1	40	0
13530	1	40	0
13540	39	40	0
13582	4	40	0
13623	40	40	0
13634	1	40	0
13661	1	40	0
13667	27	40	0
13733	1	40	0
13758	40	40	0
13776	40	40	0
13814	39	40	0
13864	5	40	0
13910	40	40	0
13912	1	40	0
13951	40	40	0
14039	10	40	0
14092	15	40	0
14175	2	40	0
14178	40	40	0
14312	6	40	0
14363	40	40	0
14452	40	40	0
14547	40	40	0
14557	40	40	0
14601	40	40	0
14663	40	40	0
14695	40	40	0
14860	40	40	0
14872	1	40	0
14879	40	40	0
14895	40	40	0
14957	40	40	0
14964	1	40	0
14967	6	40	0
15008	40	40	0
15026	40	40	0
15103	40	40	0
