position	x	n	folded
34	40	40	0
70	40	40	0
109	40	40	0
186	20	40	0
195	40	40	0
247	40	40	0
316	40	40	0
326	40	40	0
365	40	40	0
530	40	40	0
558	40	40	0
561	40	40	0
590	40	40	0
617	40	40	0
693	40	40	0
729	10	40	0
733	10	40	0
743	40	40	0
838	40	40	0
898	40	40	0
948	40	40	0
1034	40	40	0
1043	1	40	0
1054	40	40	0
1078	39	40	0
1122	7	40	0
1221	40	40	0
1269	1	40	0
1290	40	40	0
1331	40	40	0
1340	40	40	0
1355	40	40	0
1356	40	40	0
1445	3	40	0
1471	40	40	0
1552	2	40	0
1562	40	40	0
1578	40	40	0
1623	40	40	0
1679	40	40	0
1700	38	40	0
1721	40	40	0
1804	40	40	0
1804	40	40	0
1857	40	40	0
1873	40	40	0
1961	40	40	0
2004	1	40	0
2035	40	40	0
2051	40	40	0
2052	40	40	0
2067	40	40	0
2077	18	40	0
2111	40	40	0
2168	40	40	0
2201	40	40	0
2383	40	40	0
2386	40	40	0
2416	40	40	0
2459	40	40	0
2497	40	40	0
2521	40	40	0
2587	40	40	0
2685	40	40	0
2841	32	40	0
2906	40	40	0
2929	4	40	0
3035	40	40	0
3076	40	40	0
3141	40	40	0
3228	40	40	0
3296	3	40	0
3400	40	40	0
3429	40	40	0
3449	40	40	0
3452	40	40	0
3466	40	40	0
3554	1	40	0
3580	2	40	0
3645	40	40	0
3672	40	40	0
3736	40	40	0
3743	40	40	0
3774	40	40	0
3795	40	40	0
3819	40	40	0
3832	40	40	0
3889	10	40	0
3914	40	40	0
3946	40	40	0
3982	40	40	0
3996	40	40	0
4130	40	40	0
4203	7	40	0
4281	40	40	0
4341	40	40	0
4469	40	40	0
4488	3	40	0
4551	11	40	0
4623	40	40	0
4677	40	40	0
4717	3	40	0
4723	40	40	0
4731	5	40	0
4736	40	40	0
4785	1	40	0
4881	7	40	0
4946	40	40	0
4955	40	40	0
4973	40	40	0
5041	40	40	0
5067	40	40	0
5109	6	40	0
5127	40	40	0
5200	10	40	0
5297	40	40	0
5328	3	40	0
5362	40	40	0
5397	40	40	0
5447	2	40	0
5498	5	40	0
5520	2	40	0
5559	40	40	0
5565	12	40	0
5572	13	40	0
5655	40	40	0
5707	40	40	0
5736	40	40	0
5820	40	40	0
5857	40	40	0
5962	6	40	0
5971	40	40	0
6131	40	40	0
6146	32	40	0
6165	40	40	0
6173	2	40	0
6207	40	40	0
6216	40	40	0
6251	40	40	0
6285	40	40	0
6302	40	40	0
6338	40	40	0
6373	40	40	0
6428	1	40	0
6442	40	40	0
6449	40	40	0
6532	40	40	0
6616	40	40	0
6628	40	40	0
6637	40	40	0
6664	40	40	0
6680	40	40	0
6680	40	40	0
6681	40	40	0
6701	1	40	0
6746	40	40	0
6749	40	40	0
6749	40	40	0
6812	40	40	0
6824	2	40	0
6878	40	40	0
6914	9	40	0
6958	40	40	0
6999	2	40	0
7083	1	40	0
7094	40	40	0
7205	40	40	0
7267	2	40	0
7303	16	40	0
7416	40	40	0
7447	40	40	0
7450	40	40	0
7471	40	40	0
7490	6	40	0
7673	40	40	0
7743	40	40	0
7771	40	40	0
7783	40	40	0
7932	40	40	0
7994	40	40	0
8045	24	40	0
8078	40	40	0
8118	40	40	0
8158	40	40	0
8163	40	40	0
8196	8	40	0
8303	40	40	0
8337	1	40	0
8389	40	40	0
8419	7	40	0
8509	40	40	0
8606	40	40	0
8644	40	40	0
8688	40	40	0
8787	40	40	0
8831	1	40	0
8878	40	40	0
8916	40	40	0
8998	40	40	0
9025	40	40	0
9052	1	40	0
9056	40	40	0
9059	40	40	0
9114	1	40	0
9169	20	40	0
9210	5	40	0
9219	40	40	0
9243	40	40	0
9248	40	40	0
9262	40	40	0
9330	2	40	0
9373	40	40	0
9415	40	40	0
9439	40	40	0
9471	30	40	0
9506	40	40	0
9530	40	40	0
9573	40	40	0
9653	3	40	0
9656	40	40	0
9685	1	40	0
9752	40	40	0
9752	2	40	0
9796	40	40	0
9865	7	40	0
9975	40	40	0
10095	40	40	0
10130	1	40	0
10164	40	40	0
10191	40	40	0
10218	40	40	0
10221	2	40	0
10263	40	40	0
10308	40	40	0
10353	40	40	0
10356	1	40	0
10393	40	40	0
10475	40	40	0
10499	14	40	0
10559	37	40	0
10587	40	40	0
10607	3	40	0
10630	40	40	0
10658	40	40	0
10887	40	40	0
10902	7	40	0
10937	40	40	0
11002	5	40	0
11012	40	40	0
11067	40	40	0
11124	2	40	0
11133	40	40	0
11256	40	40	0
11291	40	40	0
11308	40	40	0
11351	2	40	0
11386	40	40	0
11431	40	40	0
11464	40	40	0
11486	40	40	0
11494	40	40	0
11664	40	40	0
11855	40	40	0
11891	40	40	0
11899	40	40	0
11910	3	40	0
11912	3	40	0
11956	40	40	0
11977	40	40	0
11979	40	40	0
11991	33	40	0
12006	40	40	0
